Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
KGC	29150000000.0	0.005	0.1384	0.2205	17.40%	2.74	1.35	0.16	0.16	0.41200000000000003	0.38659999999999994	0.2518	Nov 05/a	23.92	0.015300000000000001	7669405.0	Kinross Gold Corp	Basic Materials	Gold	Canada	19.27	0.62	1.16	-0.0436	0.0426	0.4929	-0.1408	1.6593	48.22	0.0055000000000000005	0.0098	11.24	0.43	4.8	3.86	25.37	15.25	1.3115	0.35359999999999997	0.06280000000000001	0.44659999999999994	0.08039999999999999	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	100
MU	232020000000.0	0.0025	0.11220000000000001	0.172	12.40%	2.52	1.79	0.27	0.28	0.4006	0.2667	0.2284	Sep 23/a	206.71	0.0415	19309812.0	Micron Technology Inc	Technology	Semiconductors	USA	27.26	1.59	9.29	0.09359999999999999	0.31170000000000003	0.8166	-0.0374	2.359	67.31	0.0509	-0.0089	10.63	0.85	6.21	4.28	22.5	139.1	1.024	0.1593	0.2619	0.3191	0.1176	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	90
GIL	9060000000.0	0.0148	0.1257	0.297	14.40%	3.87	1.67	1.37	1.39	0.3081	0.2132	0.14550000000000002	Oct 29/b	60.75	0.0236	1061046.0	Gildan Activewear Inc	Consumer Cyclical	Apparel Manufacturing	Canada	19.31	1.21	1.31	0.013500000000000002	0.0639	0.1981	-0.023799999999999998	0.6347999999999999	60.93	0.0236	0.0	13.63	0.88	2.71	6.4	105.27	29.72	0.156	0.2854	0.1409	0.21850000000000003	0.0294	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	90
LLY	777080000000.0	0.0070999999999999995	0.1597	0.867	26.31%	1.28	1.0	1.87	2.18	0.8264	0.4213	0.2591	Oct 30/b	821.04	0.0106	2626637.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	54.44	0.41	20.71	0.0108	0.0737	0.043	-0.1225	0.31620000000000004	57.39	0.0182	-0.0074	27.14	1.31	14.59	42.54	219.14	159.08	0.7312000000000001	0.3454	0.1877	0.4142	0.1508	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	90
NVDA	4426490000000.0	0.0002	0.7665000000000001	1.0942	78.42%	4.21	3.6	0.1	0.11	0.6984999999999999	0.5809000000000001	0.5241	Aug 27/a	182.16	0.0104	110565391.0	NVIDIA Corp	Technology	Semiconductors	USA	51.85	2.11	5.41	-0.011399999999999999	0.0148	0.2447	-0.0688	1.103	50.43	0.009300000000000001	0.0011	28.12	1.42	26.79	44.29	77.94	61.46	0.513	0.4321	0.9183	0.3643	0.6424	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	90
APH	165200000000.0	0.0053	0.1635	0.3478	19.45%	2.07	1.52	0.57	0.64	0.3594	0.2464	0.1822	Oct 22/b	135.31	0.0495	11983686.0	Amphenol Corp	Technology	Electronic Components	USA	45.12	1.2	4.07	0.08199999999999999	0.1381	0.4943	-0.0046	1.3969999999999998	69.07	0.0441	0.0052	35.79	1.47	7.88	14.35	42.49	46.45	0.6931	0.1813	0.1539	0.3063	0.131	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	85
PFSI	6650000000.0	0.009300000000000001	0.0207	0.1255	4.51%	0.05	0.09	1.63	4.61	0.9028	0.3496	0.1225	Oct 21/a	128.55	-0.0079	640498.0	PennyMac Financial Services Inc	Financial	Mortgage Finance	USA	13.84	1.56	3.98	0.061399999999999996	0.0898	0.23399999999999999	-0.0447	0.4993	65.12	-0.005	-0.0029	8.97	0.31	1.63	1.58	9.72		0.6897	0.4531	0.036000000000000004	0.44	0.1208	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	85
SCHW	171720000000.0	0.0116	0.0177	0.1704	11.16%	1.18	1.18	0.41	0.56	0.8233	0.4625	0.28600000000000003	Oct 16/b	94.6	0.0031	7706939.0	Charles Schwab Corp	Financial	Capital Markets	USA	22.18	1.02	1.95	0.0051	0.0009	0.0907	-0.0501	0.4359	52.08	-0.0022	0.0053	17.02	0.85	6.32	4.02	2.19	4.36	0.47130000000000005	0.16269999999999998	0.0226	0.2597	0.17149999999999999	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	85
CPA	5160000000.0	0.0516	0.11199999999999999	0.266	14.73%	1.04	0.93	0.69	0.8	0.3182	0.2212	0.18359999999999999	Aug 06/a	125.34	-0.0029	143267.0	Copa Holdings S.A	Industrials	Airlines	Panama	8.12	1.28	3.25	0.0191	0.0487	0.20199999999999999	-0.0358	0.5185	57.42	-0.001	-0.0018	6.96	0.74	1.49	2.01	5.16		0.12050000000000001	0.1045	0.20379999999999998	0.109	0.049400000000000006	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	85
ATAT	4470000000.0	0.0174	0.17670000000000002	0.46299999999999997	29.59%	2.1	2.05	0.41	0.52	0.4329	0.21230000000000002	0.1654	Aug 26/b	39.36	0.0197	2695147.0	Atour Lifestyle Holdings Ltd ADR	Consumer Cyclical	Lodging	China	28.68	0.79	1.22	0.0697	0.0499	0.23829999999999998	-0.0255	0.8306999999999999	64.82	-0.0005	0.0202	19.0	1.15	3.86	11.82	6.16	18.89	0.2622	0.2659	1.4031	0.24989999999999998	0.34740000000000004	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-23	80
