Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
KGC	28710000000.0	0.0051	0.1384	0.2205	17.40%	2.74	1.35	0.16	0.16	0.41200000000000003	0.38659999999999994	0.2518	Nov 05/a	23.56	0.0212	12981114.0	Kinross Gold Corp	Basic Materials	Gold	Canada	18.98	0.61	1.21	-0.0575	0.0313	0.47700000000000004	-0.1537	1.6192	46.41	0.0425	-0.0204	11.31	0.47	4.73	3.8	24.99	15.02	1.29	0.33799999999999997	0.06280000000000001	0.4023	0.08039999999999999	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	100
NVDA	4380800000000.0	0.0002	0.7665000000000001	1.0942	78.42%	4.21	3.6	0.1	0.11	0.6984999999999999	0.5809000000000001	0.5241	Aug 27/a	180.28	-0.0049	161368647.0	NVIDIA Corp	Technology	Semiconductors	USA	51.31	2.11	5.58	-0.0204	0.0044	0.23329999999999998	-0.0784	1.0813	47.71	-0.0049	0.0	27.83	1.41	26.52	43.84	77.14	60.83	0.513	0.4321	0.9183	0.3643	0.6424	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	90
LLY	768930000000.0	0.0072	0.1597	0.867	26.31%	1.28	1.0	1.87	2.18	0.8264	0.4213	0.2591	Oct 30/b	812.43	0.0161	2927496.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	53.87	0.42	20.87	0.0068000000000000005	0.0669	0.032400000000000005	-0.1317	0.3024	55.03	0.0176	-0.0015	26.91	1.3	14.44	42.1	216.84	157.41	0.7322	0.342	0.1877	0.4142	0.1508	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	90
MU	222780000000.0	0.0027	0.11220000000000001	0.172	12.40%	2.52	1.79	0.27	0.28	0.4006	0.2667	0.2284	Sep 23/a	198.47	-0.0189	21878752.0	Micron Technology Inc	Technology	Semiconductors	USA	26.18	1.59	8.94	0.0641	0.2727	0.7524	-0.0758	2.2251	63.32	-0.0187	-0.0002	10.2	0.82	5.96	4.11	21.61	133.56	1.024	0.1593	0.2619	0.3191	0.1176	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	90
GIL	8850000000.0	0.0151	0.1257	0.297	14.40%	3.87	1.67	1.37	1.39	0.3081	0.2132	0.14550000000000002	Oct 29/b	59.35	-0.0002	1393717.0	Gildan Activewear Inc	Consumer Cyclical	Apparel Manufacturing	Canada	18.87	1.21	1.26	-0.006500000000000001	0.0415	0.172	-0.0463	0.5971	53.69	-0.0024	0.0022	13.24	0.86	2.65	6.25	102.84	29.03	0.156	0.2921	0.1409	0.21850000000000003	0.0294	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	90
RYAAY	32380000000.000004	0.0173	0.1143	0.2712	25.81%	0.66	0.66	0.03	0.31	0.2071	0.1474	0.1442	Nov 03/b	61.33	0.0	524484.0	Ryanair Holdings Plc ADR	Industrials	Airlines	Ireland	14.6	1.39	1.15	0.0175	0.005699999999999999	0.1481	-0.08710000000000001	0.5922	54.95	-0.0011	0.0011	11.28	0.66	2.02	3.75	6.31	14.26	0.45640000000000003	0.14029999999999998	0.1941	0.2217	0.0967	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	90
CPA	5180000000.0	0.051500000000000004	0.11199999999999999	0.266	14.73%	1.04	0.93	0.69	0.8	0.3182	0.2212	0.18359999999999999	Aug 06/a	125.7	-0.012	124332.0	Copa Holdings S.A	Industrials	Airlines	Panama	8.14	1.28	3.22	0.0254	0.0528	0.2075	-0.0331	0.5229	58.46	-0.0166	0.0046	6.98	0.75	1.49	2.02	5.17		0.11630000000000001	0.10869999999999999	0.20379999999999998	0.109	0.049400000000000006	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	85
PFSI	6700000000.0	0.009300000000000001	0.0207	0.1255	4.51%	0.05	0.09	1.63	4.61	0.9028	0.3496	0.1225	Oct 21/a	129.57	0.0716	1115803.0	PennyMac Financial Services Inc	Financial	Mortgage Finance	USA	13.95	1.57	4.0	0.0725	0.10220000000000001	0.2455	-0.0034999999999999996	0.5112	67.54	-0.0054	0.0774	9.13	0.32	1.65	1.6	9.79		0.6592	0.465	0.036000000000000004	0.4366	0.1208	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	85
CWK	3820000000.0		0.0276	0.1162	4.14%	1.13	1.13	1.61	1.7	0.1746	0.0452	0.021099999999999997	Oct 30/b	16.51	0.013500000000000002	1340801.0	Cushman & Wakefield plc	Real Estate	Real Estate Services	United Kingdom	18.75	1.57	0.44	0.0547	0.046	0.3404	-0.0311	1.161	62.66	0.0129	0.0006	11.3	0.61	0.39	2.01	5.92	39.69	0.5743	0.2023	2.6258	0.3086	0.0154	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	80
MPWR	47960000000.0	0.0062	0.5623	0.665	54.46%	5.0	3.72	0.0	0.01	0.5531	0.25980000000000003	0.7317	Oct 30/a	1001.4	-0.0265	712938.0	Monolithic Power System Inc	Technology	Semiconductors	USA	26.08	1.33	37.67	0.044199999999999996	0.1143	0.39490000000000003	-0.0385	1.2818	58.52	-0.012	-0.0147	49.24	1.3	18.85	14.1	41.85	67.9	0.24	0.16149999999999998	0.7275	0.1999	0.2858	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2025-10-22	80
