Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
KGC	45950000000.0	0.0033	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	38.07	0.0053	13756985.0	Kinross Gold Corp	Basic Materials	Gold	Canada	26.56	0.76	1.44	0.14800000000000002	0.2845	0.7698	-0.026600000000000002	2.6889	80.06	0.0011	0.0042	14.28	0.24	7.13	5.79	26.47	21.0	1.5821	0.5179	0.06280000000000001	0.5962	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	100
NVDA	4653380000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Nov 19/a	191.5	0.0158	144517951.0	NVIDIA Corp	Technology	Semiconductors	USA	47.43	2.31	5.02	0.0282	0.0426	0.1471	-0.0975	1.2107999999999999	58.56	0.0012	0.0146	24.72	0.5	24.87	39.15	76.78	60.18	0.5660000000000001	0.6543000000000001	0.9183	0.4924	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	100
MU	489910000000.0	0.0011	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	435.28	0.061	40811023.0	Micron Technology Inc	Technology	Semiconductors	USA	41.38	1.54	19.3	0.2325	0.5114	1.5196	0.0452	6.073099999999999	80.18	0.0301	0.03	10.0	0.13	11.58	8.33	47.48	105.31	2.9621	0.3248	0.2619	0.7526999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	100
STRL	11470000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Nov 03/a	373.52	0.0034000000000000002	299558.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	36.63	1.52	17.71	0.1207	0.1414	0.33030000000000004	-0.10880000000000001	2.8771	66.05	-0.0046	0.008	31.1	0.91	5.14	10.91	37.45	31.85	0.6933	0.1628	0.41229999999999994	0.34149999999999997	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	95
EVR	14050000000.0	0.0092	0.1323	0.3139	18.65%	2.71	2.71	0.57	0.63	0.9890000000000001	0.20079999999999998	0.1483	Feb 04/b	363.18	-0.0009	307110.0	Evercore Inc	Financial	Capital Markets	USA	28.97	1.57	11.3	-0.0063	0.059500000000000004	0.22190000000000001	-0.06570000000000001	1.4435	53.06	-0.0039000000000000003	0.003	20.24	0.58	3.94	7.74	5.81	13.56	0.4254	0.33630000000000004	0.056900000000000006	0.3507	0.08109999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	95
FHI	4099999999.9999995	0.025099999999999997	0.1725	0.3206	22.33%	3.13	3.13	0.37	0.39	0.7529	0.2893	0.20800000000000002	Jan 29/a	52.91	0.0076	661798.0	Federated Hermes Inc	Financial	Asset Management	USA	11.07	0.73	1.21	-0.003	0.0209	0.09119999999999999	-0.0403	0.5096	50.09	0.0060999999999999995	0.0015	10.16	0.48	2.34	3.46	6.34	15.83	0.5378000000000001	0.0489	0.0377	0.2108	0.0429	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	95
AEM	111950000000.0	0.0064	0.1103	0.1567	14.48%	2.12	1.31	0.01	0.01	0.5305	0.4975	0.3262	Feb 12/a	222.99	0.0316	2786767.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	32.57	0.64	7.38	0.13970000000000002	0.23800000000000002	0.5129	-0.002	1.5096	78.73	0.0175	0.0138	19.08	0.48	10.59	4.76	47.22	30.66	0.9281	0.433	0.1368	0.3961	0.2713	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	90
FNV	51600000000.0	0.005600000000000001	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	267.64	0.0218	987500.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	56.13	0.49	8.21	0.1325	0.2288	0.41340000000000005	0.0039000000000000003	1.0739	83.74	0.0025	0.0192	34.24	0.85	33.38	7.37	217.98		0.6762999999999999	0.45289999999999997	0.09380000000000001	0.4022	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	90
CLS	39720000000.0		0.1144	0.373	24.77%	1.47	0.88	0.43	0.45	0.1176	0.085	0.0635	Jan 28/a	345.23	0.0362	4613226.0	Celestica, Inc	Technology	Electronic Components	Canada	56.03	1.87	21.52	0.1183	0.1121	0.5776	-0.05	4.9471	62.54	0.0034000000000000002	0.0327	40.86	0.93	3.52	19.57	129.83	99.93	0.5266	0.4266	0.46520000000000006	0.4385	0.1038	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	90
WPM	70960000000.0	0.0042	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	156.3	0.0463	3487306.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	70.94	0.53	5.41	0.17600000000000002	0.3055	0.5513	0.0103	1.6509	82.04	0.02	0.0258	38.95	0.83	38.77	8.77	61.3	102.11	0.9490999999999999	0.46020000000000005	0.433	0.467	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	90
RGLD	25420000000.0	0.0062	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	301.21	0.0255	825287.0	Royal Gold, Inc	Basic Materials	Gold	USA	41.29	0.51	8.82	0.1637	0.3215	0.5782	0.0054	1.2148	87.9	0.0146	0.010700000000000001	24.85	0.73	29.64	5.82	147.07		0.5346	0.5015999999999999	0.2865	0.3408	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	90
AGI	18650000000.0	0.0023	0.0955	0.1427	12.52%	1.72	1.33	0.07	0.07	0.4875	0.4301	0.3346	Jan 14/a	44.43	0.0181	3527468.0	Alamos Gold Inc	Basic Materials	Gold	Canada	34.85	0.62	1.87	0.0766	0.15410000000000001	0.4203	-0.0166	1.2039	64.97	0.0068000000000000005	0.011200000000000002	16.3	0.29	11.59	4.63	36.62	79.6	0.7812	0.8898	0.2311	0.5602	0.1454	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	90
PFSI	7640000000.0	0.008199999999999999	0.0207	0.1255	4.79%	0.1	0.1	1.47	3.34	0.8844	0.33520000000000005	0.11900000000000001	Jan 29/a	146.98	-0.0166	876051.0	PennyMac Financial Services Inc	Financial	Mortgage Finance	USA	15.83	1.56	4.4	0.0175	0.0786	0.2821	-0.0834	0.7143	55.95	-0.0169	0.0003	9.87	0.22	1.82	1.81	11.16		0.7809999999999999	0.43200000000000005	0.036000000000000004	0.4472	0.1208	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	85
LRCX	301280000000.0	0.0042	0.2805	0.6225999999999999	41.73%	2.21	1.6	0.37	0.44	0.49310000000000004	0.33	0.2966	Jan 28/a	239.87	0.0059	14848369.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	52.86	1.81	9.97	0.13449999999999998	0.3285	0.9189	0.0015	3.2591	72.95	-0.0052	0.011200000000000002	39.64	1.97	15.38	29.63	45.01	54.28	0.1875	0.23070000000000002	0.2242	0.2011	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	85
FIX	41230000000.0	0.0016	0.16440000000000002	0.4384	31.94%	1.22	1.2	0.17	0.19	0.2278	0.1336	0.10060000000000001	Oct 23/a	1169.05	0.0075	298732.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	49.51	1.68	46.02	0.0958	0.1703	0.5978	-0.0075	3.2289	69.32	0.0031	0.0043	37.97	1.11	4.95	18.46	46.79	51.62	0.7975	0.17309999999999998	0.3652	0.34130000000000005	0.2186	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	85
CRS	16520000000.0	0.0025	0.1242	0.2316	15.86%	4.44	2.37	0.36	0.37	0.2808	0.1954	0.1429	Jan 29/b	331.61	-0.049800000000000004	1253738.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	40.57	1.3	12.86	-0.0024	0.0212	0.2325	-0.0659	1.3924	50.36	-0.051399999999999994	0.0016	27.7	1.28	5.71	8.63	79.43	61.32	0.3553	0.1809	2.1797999999999997	0.21710000000000002	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	80
CBOE	27690000000.0	0.0102	0.11	0.2151	15.16%	1.72	1.72	0.32	0.33	0.46759999999999996	0.29969999999999997	0.2118	Feb 06/b	264.6	-0.0128	563421.0	Cboe Global Markets Inc	Financial	Financial Data & Stock Exchanges	USA	28.41	0.36	5.74	0.0027	0.0262	0.09910000000000001	-0.0527	0.3172	51.57	-0.0138	0.001	23.41	1.92	6.0	5.67	18.1	24.11	0.225	0.07150000000000001	0.16690000000000002	0.122	0.10400000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	80
GOOGL	4057080000000.0	0.0016	0.2571	0.35450000000000004	29.40%	1.75	1.75	0.09	0.11	0.5918	0.331	0.3223	Feb 04/a	336.01	0.0044	26244292.0	Alphabet Inc	Communication Services	Internet Content & Information	USA	33.15	1.1	7.49	0.0294	0.0643	0.4443	-0.0132	1.391	64.34	0.0	0.0043	29.8	1.7	10.52	10.49	41.19	55.16	0.32270000000000004	0.0602	0.2676	0.17559999999999998	0.1673	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	80
GOOG	4053920000000.0	0.0017000000000000001	0.2571	0.35450000000000004	29.40%	1.75	1.75	0.09	0.11	0.5918	0.331	0.3223	Feb 04/a	336.2	0.0036	16685730.0	Alphabet Inc	Communication Services	Internet Content & Information	USA	33.16	1.1	7.43	0.0287	0.06269999999999999	0.4395	-0.0147	1.3566999999999998	63.93	-0.0005	0.0040999999999999995	29.82	1.7	10.52	10.5	41.16	55.12	0.32270000000000004	0.0603	0.2676	0.17550000000000002	0.1673	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	80
SCHW	183860000000.0	0.0116	0.0182	0.18109999999999998	11.76%	1.19	1.19	0.45	0.63	0.8342	0.4764	0.3041	Jan 21/b	103.47	-0.0024	7482063.0	Charles Schwab Corp	Financial	Capital Markets	USA	22.21	0.93	2.15	0.0127	0.056100000000000004	0.1131	-0.022099999999999998	0.5706	57.99	-0.001	-0.0014000000000000002	15.09	0.85	6.64	4.34	2.07	8.95	0.2045	0.16879999999999998	0.17	0.17739999999999997	0.17980000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	80
WBS	10410000000.0	0.0253	0.0121	0.1081	7.54%	0.05		0.4	0.47		0.2848	0.22030000000000002	Jan 23/b	64.53	0.0044	1663569.0	Webster Financial Corp	Financial	Banks - Regional	USA	10.92	1.07	1.61	0.0022	0.0313	0.1219	-0.043	0.6365999999999999	52.62	0.0026	0.0017000000000000001	8.7	0.72	2.35	1.17		6.62	0.1173	0.1177	0.2026	0.121	0.28190000000000004	True	True	True	True	True	True	True	True	True	True	True	True	2026-01-28	80
