Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	20730000000.0	0.0025	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	49.38	-0.049699999999999994	4626598.0	Alamos Gold Inc	Basic Materials	Gold	Canada	23.55	0.55	2.77	0.042699999999999995	0.1387	0.4706	-0.10880000000000001	1.1682	55.29	-0.032	-0.0183	14.55	0.39	11.46	4.66	30.4	77.64	0.9690000000000001	0.23079999999999998	0.4175	0.3693	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	100
MU	446940000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Mar 18/a	397.1	-0.0092	28876730.0	Micron Technology Inc	Technology	Semiconductors	USA	37.75	1.55	24.84	-0.0222	0.0622	0.8573000000000001	-0.1282	5.4527	49.85	-0.0048	-0.0044	8.32	0.1	10.56	7.6	43.31	96.07	3.1641000000000004	0.38299999999999995	0.2619	0.8112999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	100
CGAU	3690000000.0	0.011200000000000002	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	18.43	-0.048	1570897.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.48	0.82	1.13	-0.0282	0.0565	0.6114	-0.1294	2.4067	48.6	-0.0269	-0.0217	9.48	0.5	2.82	1.79	6.82	39.57	0.7001999999999999	0.0305	0.1553	0.19079999999999997	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	90
WPM	67120000000.00001	0.0045000000000000005	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Mar 12/a	147.83	-0.0398	2009851.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	67.1	0.5	7.21	-0.0097	0.0641	0.3577	-0.1082	1.173	50.0	-0.0155	-0.024700000000000003	28.99	0.5	36.67	8.29	57.97	96.61	1.0518	0.7626999999999999	0.433	0.5777	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	90
SSRM	6340000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	31.19	-0.0622	8779243.0	SSR Mining Inc	Basic Materials	Gold	USA	17.07	-0.18	2.25	0.0868	0.2134	0.5634	-0.0687	2.6054000000000004	57.53	-0.0548	-0.0078000000000000005	6.33	0.21	3.89	1.81	11.02	26.19	1.2189	0.1054	0.12990000000000002	0.30820000000000003	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	90
FNV	49230000000.0	0.006	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	255.35	-0.0253	817849.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	53.55	0.43	11.46	-0.011699999999999999	0.0489	0.2748	-0.1061	0.8234999999999999	49.07	-0.0067	-0.0187	30.13	0.67	31.85	7.03	207.97		0.6828	0.5689	0.09380000000000001	0.4499	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	90
PAHC	2009999999.9999998	0.0097	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	49.59	-0.0443	337608.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	21.99	0.71	2.31	-0.049400000000000006	0.11289999999999999	0.34340000000000004	-0.1192	2.0687	50.23	-0.030299999999999997	-0.014499999999999999	14.74	0.7	1.37	6.05	27.01	42.56	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	85
SIMO	4210000000.0	0.015700000000000002	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Feb 03/a	123.76	0.011899999999999999	374721.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	34.12	1.04	7.89	-0.0621	0.051699999999999996	0.3627	-0.1572	2.326	47.27	0.024	-0.0118	16.55	0.35	4.75	5.04	20.83	669.64	0.6271	0.29469999999999996	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	85
AU	54470000000.0	0.052199999999999996	0.0941	0.1942	25.66%	2.87	2.2	0.27	0.28	0.5218	0.4389	0.26649999999999996	Feb 20/b	107.89	-0.0464	3575877.0	AngloGold Ashanti Plc	Basic Materials	Gold	United Kingdom	20.75	0.57	6.81	-0.049400000000000006	0.0435	0.4929	-0.1646	2.5844	46.35	0.0022	-0.048499999999999995	10.33	0.41	5.51	7.06	18.6	17.39	0.9054000000000001	0.020499999999999997	0.1794	0.2541	0.1745	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	85
BAP	26580000000.0	0.0467	0.0263	0.1888	11.16%	0.4		0.52	0.9		0.3308	0.22940000000000002	Feb 13/b	334.18	-0.0149	344832.0	Credicorp Ltd	Financial	Banks - Regional	Peru	13.69	0.9	11.98	-0.034300000000000004	0.0105	0.24969999999999998	-0.121	1.0191	45.47	-0.0011	-0.0138	10.26	0.75	3.14	2.32		10.96	0.1441	0.1174	0.8127	0.1368	0.11449999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	80
CRS	19670000000.0	0.0021	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Jan 29/b	395.0	-0.0416	790325.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	45.88	1.25	16.91	0.031	0.1232	0.35969999999999996	-0.042	1.8497	59.45	-0.0269	-0.015	32.66	1.39	6.68	9.91	84.84	62.12	0.3661	0.18359999999999999	2.1797999999999997	0.2357	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-05	80
