Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
HALO	8890000000.0		0.1433	0.9940000000000001	16.18%	2.76	2.33	8.81	9.76	0.7693000000000001	0.5696	0.23129999999999998	May 11/a	74.96	0.032	2821559.0	Halozyme Therapeutics Inc	Healthcare	Biotechnology	USA	26.96	0.83	2.33	0.0691	0.09820000000000001	0.0851	-0.0883	0.4681	67.09	0.0274	0.0045000000000000005	7.55	0.19	5.89	40.45	27.91	13.32	0.9541	0.2241	0.2289	0.391	0.39159999999999995	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	100
NBIX	16940000000.000002		0.15560000000000002	0.225	17.53%	2.93	2.85	0.12	0.12	0.9817	0.2575	0.2155	May 05/a	168.52	0.0264	1948361.0	Neurocrine Biosciences Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	25.91	0.38	4.91	0.041100000000000005	0.11599999999999999	0.188	-0.0062	0.37979999999999997	64.14	0.0301	-0.0036	17.41	0.46	5.46	4.98	12.87	20.38	0.6533	0.25370000000000004	0.0231	0.3753	0.2229	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	100
MU	1276970000000.0	0.0005	0.475	0.6664	47.38%	3.42	2.98	0.06	0.06	0.6998000000000001	0.6575	0.5590999999999999	Jun 24/a	1132.33	-0.0669	85644633.0	Micron Technology Inc	Technology	Semiconductors	USA	25.63	2.08	95.17	0.09359999999999999	0.41159999999999997	1.6591	-0.0977	9.9531	58.95	-0.0067	-0.060599999999999994	7.67	0.05	14.15	12.69	49.07	48.79	7.7732	1.0309	0.2619	1.6765999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	100
LLY	1137740000000.0	0.0058	0.24539999999999998	1.0764	35.82%	1.5	1.1	1.26	1.39	0.8283	0.473	0.34979999999999994	Apr 30/b	1208.12	0.0713	7699849.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	43.49	0.51	38.19	0.077	0.17149999999999999	0.2379	0.0215	0.9368000000000001	72.35	0.0703	0.001	27.11	0.95	15.75	36.54	215.4	96.23	0.512	0.21760000000000002	0.2759	0.2849	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	95
STRL	24690000000.0		0.1439	0.3475	23.10%	1.1	1.1	0.26	0.29	0.2243	0.1741	0.1202	May 04/a	804.76	-0.0875	5140789.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	71.95	1.81	65.77	-0.0761	0.0712	0.7341	-0.1998	2.7075	47.39	-0.045599999999999995	-0.043899999999999995	33.46	0.87	8.56	20.76	48.25	56.09	0.7365	0.2731	0.4426	0.3851	0.1177	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	95
SIMO	10250000000.0	0.0072	0.1477	0.2023	18.73%	2.85	1.38	0.0	0.0	0.48090000000000005	0.1277	0.15990000000000001	Apr 28/a	305.28	-0.061399999999999996	1114753.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	60.72	1.66	24.95	0.047	0.22469999999999998	1.1545999999999998	-0.1401	3.3539	57.09	-0.0294	-0.033	28.94	0.53	9.65	11.31	49.51		1.484	0.1962	0.0977	0.5488000000000001	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	95
AMG	9030000000.0	0.0001	0.0833	0.2404	12.56%	1.18	1.18	0.94	0.94	0.9361	0.1954	0.3542	May 01/b	341.98	0.005600000000000001	428597.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	13.93	1.09	10.18	0.0118	0.08800000000000001	0.19899999999999998	-0.0602	0.8139	57.64	0.0053	0.0003	8.49	0.35	4.24	2.93	24.02	8.26	0.3448	0.1503	0.3932	0.24059999999999998	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	95
CACC	6580000000.0		0.050499999999999996	0.2812	7.39%	0.27	0.27	3.05	4.23	0.9784	0.46909999999999996	0.1949	May 05/a	628.86	0.0083	204961.0	Credit Acceptance Corp	Financial	Credit Services	USA	15.63	1.35	21.01	0.1023	0.1512	0.2873	-0.0028000000000000004	0.5647	73.23	0.0149	-0.0066	11.12	0.48	2.83	4.33	11.78	6.25	0.21780000000000002	0.1745	0.0916	0.23370000000000002	0.0678	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	90
VICR	14900000000.0		0.18600000000000003	0.20489999999999997	17.99%	14.3	12.03	0.01	0.01	0.5817	0.12619999999999998	0.32030000000000003	Apr 21/b	326.93	-0.0141	4157332.0	Vicor Corp	Technology	Electronic Components	USA	109.49	2.35	27.92	0.034300000000000004	0.1326	1.0131000000000001	-0.115	6.8288	55.01	0.0232	-0.0364	54.89	1.23	34.92	19.76	36.86	170.66	0.166	0.9569	0.449	0.4462	0.06570000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	90
ATLC	1670000000.0		0.025099999999999997	0.2139	1.94%	1.59	1.59	9.12	9.23	0.9209	0.2409	0.0546	May 07/a	110.41	0.019799999999999998	411923.0	Atlanticus Holdings Corp	Financial	Credit Services	USA	16.46	2.06	5.48	0.1918	0.3109	0.6962	-0.0091	1.4139	79.15	0.0204	-0.0006	8.60	0.19	0.72	2.57	2.08	2.11	0.5791	0.36479999999999996	0.0855	0.45439999999999997	0.2843	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-26	90
